Quarter,Time,Down,ToGo,Location,Away,Home,Detail,EPB,EPA,field_side,yardline,play_start_time,Play_Type,posession,Yardage,away,home,possession,game_id
1,9:13,1,10,ARI 28,,,Joshua Dobbs pass incomplete short left intended for Zach Pascal,0.810,0.260,ARI,28.0,5.783333333333333,Pass,,0.0,0,0,ARI,2.0
1,9:08,2,10,ARI 28,,,Joshua Dobbs pass complete short left to Zach Ertz for -3 yards (tackle by Darrick Forrest and James Smith-Williams),0.260,-0.820,ARI,28.0,5.866666666666667,Pass,,-3.0,0,0,ARI,2.0
1,8:28,3,13,ARI 25,,,James Conner right guard for 5 yards (tackle by Kamren Curl and Cody Barton),-0.820,-1.370,ARI,25.0,6.533333333333333,Run,,5.0,0,0,ARI,2.0
1,7:45,4,8,ARI 30,,,"Nolan Cooney punts 51 yards, returned by Jamison Crowder for no gain (tackle by Victor Dimukeje). Penalty on Jartavius Martin: Offensive Illegal Block Above the Waist, 10 yards (accepted) ",-1.370,0.380,ARI,30.0,7.25,Special Teams,,0.0,0,0,ARI,2.0
1,7:12,1,10,WAS 24,,,Sam Howell pass complete short middle to Logan Thomas for 6 yards (tackle by Marco Wilson),0.540,0.810,WAS,24.0,7.8,Pass,,6.0,0,0,WAS,2.0
1,6:41,2,4,WAS 30,,,Antonio Gibson right tackle for 3 yards (tackle by Kyzir White),0.810,0.500,WAS,30.0,8.316666666666666,Run,,3.0,0,0,WAS,2.0
1,6:10,3,1,WAS 33,,,"Sam Howell pass complete short right to Jahan Dotson for 3 yards (tackle by Jalen Thompson). Penalty on Jalen Thompson: Personal Foul / Defense, 15 yards (accepted) ",0.500,2.320,WAS,33.0,8.833333333333332,Pass,,18.0,0,0,WAS,2.0
1,5:46,1,10,ARI 49,,,Brian Robinson right end for -1 yards (tackle by Kevin Strong),2.320,1.580,ARI,49.0,9.233333333333333,Run,,-1.0,0,0,WAS,2.0
1,5:08,2,12,ARI 50,,,"Sam Howell pass incomplete intended for Terry McLaurin. Penalty on Marco Wilson: Defensive Pass Interference, 37 yards (accepted) (no play)",1.580,4.710,ARI,50.0,9.866666666666665,Pass,,37.0,0,0,WAS,2.0
1,5:02,1,10,ARI 13,,,Curtis Samuel left tackle for 6 yards (tackle by Kyzir White and K'Von Wallace),4.710,5.150,ARI,13.0,9.966666666666665,Run,,-12.0,0,0,WAS,2.0
1,4:15,1,10,ARI 25,,,Rondale Moore left end for 4 yards (tackle by Emmanuel Forbes),0.610,0.600,ARI,25.0,10.749999999999998,Run,,4.0,0,7,WAS,2.0
1,3:45,2,6,ARI 29,,,Marquise Brown right end for 29 yards (tackle by Darrick Forrest),0.600,2.790,ARI,29.0,11.249999999999998,Run,,29.0,0,7,ARI,2.0
1,3:03,1,10,WAS 42,,,Joshua Dobbs pass complete short right to James Conner for -1 yards (tackle by Montez Sweat and James Smith-Williams),2.790,2.110,WAS,42.0,11.95,Pass,,-1.0,0,7,ARI,2.0
1,2:16,2,11,WAS 43,,,"Joshua Dobbs pass complete short right to Rondale Moore for 31 yards (tackle by Emmanuel Forbes) Penalty on WAS: Illegal Contact, 5 yards (declined) ",2.110,4.780,WAS,43.0,12.733333333333333,Pass,,31.0,0,7,ARI,2.0
1,1:43,1,10,WAS 12,,,Joshua Dobbs pass incomplete short middle intended for Zach Ertz,4.780,4.100,WAS,12.0,13.283333333333331,Pass,,0.0,0,7,ARI,2.0
1,1:38,2,10,WAS 12,,,Joshua Dobbs right end for 1 yard (tackle by Jamin Davis),4.100,3.290,WAS,12.0,13.366666666666665,Run,,1.0,0,7,ARI,2.0
1,0:59,3,9,WAS 11,,,Joshua Dobbs pass incomplete short middle intended for Zach Ertz (defended by Kamren Curl),3.290,2.700,WAS,11.0,14.016666666666666,Pass,,-14.0,0,7,ARI,2.0
1,0:53,1,10,WAS 25,,,Sam Howell sacked by Leki Fotu for -1 yards,0.610,-0.070,WAS,25.0,14.116666666666665,Run,,-1.0,3,7,ARI,2.0
1,0:15,2,11,WAS 24,,,"Sam Howell pass complete to Logan Thomas for no gain. Penalty on John Bates: Offensive Pass Interference, 10 yards (accepted) (no play)",-0.070,-1.540,WAS,24.0,14.749999999999998,Pass,,-10.0,3,7,WAS,2.0
2,15:00,2,21,WAS 14,,,"Sam Howell pass incomplete intended for Logan Thomas. Penalty on Jonathan Ledbetter: Roughing the Passer, 15 yards (accepted) (no play)",-1.540,0.870,WAS,14.0,14.999999999999998,Pass,,15.0,3,7,WAS,2.0
2,14:54,1,10,WAS 29,,,Sam Howell pass short left (defended by Kevin Strong) intended for Jahan Dotson is intercepted by Zaven Collins at WAS-38 and returned for 1 yard (tackle by Terry McLaurin),0.870,-3.120,WAS,29.0,15.099999999999998,Pass,,-4.0,3,7,WAS,2.0
2,14:02,2,6,WAS 33,,,Keaontay Ingram right end for -3 yards (tackle by Daron Payne and Casey Toohill),3.110,2.010,WAS,33.0,15.966666666666665,Run,,-3.0,3,7,ARI,2.0
2,13:35,3,9,WAS 36,,,Joshua Dobbs pass incomplete short left intended for Marquise Brown,2.010,0.880,WAS,36.0,16.416666666666664,Pass,,11.0,3,7,ARI,2.0
2,13:26,1,10,WAS 25,,,Brian Robinson left guard for 6 yards (tackle by Zaven Collins and K'Von Wallace),0.610,0.870,WAS,25.0,16.566666666666663,Run,,6.0,6,7,ARI,2.0
2,12:49,2,4,WAS 31,,,Brian Robinson left tackle for 5 yards (tackle by Carlos Watkins and Jalen Thompson),0.870,1.330,WAS,31.0,17.18333333333333,Run,,5.0,6,7,WAS,2.0
2,12:15,1,10,WAS 36,,,Sam Howell scrambles left end for 5 yards (tackle by Kyzir White),1.330,1.470,WAS,36.0,17.749999999999996,Pass,,5.0,6,7,WAS,2.0
2,11:32,2,5,WAS 41,,,Antonio Gibson right guard for 3 yards (tackle by Krys Barnes and Jonathan Ledbetter),1.470,1.160,WAS,41.0,18.46666666666666,Run,,3.0,6,7,WAS,2.0
2,10:47,3,2,WAS 44,,,Sam Howell pass complete short middle to Terry McLaurin for 19 yards (tackle by Budda Baker),1.160,3.120,WAS,44.0,19.21666666666666,Pass,,19.0,6,7,WAS,2.0
2,10:10,1,10,ARI 37,,,Sam Howell pass complete short left to Curtis Samuel for 1 yard (tackle by Marco Wilson),3.120,2.710,ARI,37.0,19.83333333333333,Pass,,1.0,6,7,WAS,2.0
2,9:36,2,9,ARI 36,,,Sam Howell pass complete deep right to Cole Turner for 17 yards (tackle by Marco Wilson),2.710,4.310,ARI,36.0,20.399999999999995,Pass,,17.0,6,7,WAS,2.0
2,8:55,1,10,ARI 19,,,"Antonio Gibson up the middle for 3 yards. Antonio Gibson fumbles (forced by Victor Dimukeje), recovered by Zaven Collins at ARI-16",4.310,0.140,ARI,19.0,21.08333333333333,Run,,-1.0,6,7,WAS,2.0
2,8:21,2,8,ARI 18,,,"Joshua Dobbs pass complete to Marquise Brown for no gain. Penalty on Hjalte Froholdt: Ineligible Downfield Pass, 5 yards (accepted) (no play)",-0.350,-0.990,ARI,18.0,21.649999999999995,Pass,,-5.0,6,7,ARI,2.0
2,7:46,2,13,ARI 13,,,James Conner up the middle for 6 yards (tackle by Jamin Davis and Cody Barton),-0.990,-0.950,ARI,13.0,22.233333333333327,Run,,6.0,6,7,ARI,2.0
2,7:01,3,7,ARI 19,,,Joshua Dobbs sacked by and Montez Sweat for -4 yards and Abdullah Anderson for -4 yards,-0.950,-2.440,ARI,19.0,22.983333333333327,Run,,-4.0,6,7,ARI,2.0
